-DOCSTART- -X- O O
In	O
this	O
paper	O
,	O
we	O
determined	O
the	O
agonist	O
-	O
activated	O
structure	O
of	O
the	O
5	B-NEURAL MECHANISM/CORRELATE
-	I-NEURAL MECHANISM/CORRELATE
HT2A	I-NEURAL MECHANISM/CORRELATE
serotonin	I-NEURAL MECHANISM/CORRELATE
receptor	I-NEURAL MECHANISM/CORRELATE
coupled	O
to	O
this	O
paper	O
canonical	O
transducer	O
Gαq	O
,	O
compared	O
this	O
paper	O
with	O
inactive	O
state	O
structures	O
stabilized	O
by	O
both	O
the	O
partial	O
agonist	O
LSD	B-DRUG
and	O
the	O
inverse	O
agonist	O
methiothepin	B-DRUG
,	O
and	O
identified	O
key	O
determinants	O
essential	O
for	O
agonist	B-NEURAL MECHANISM/CORRELATE
actions	I-NEURAL MECHANISM/CORRELATE
and	O
receptor	B-NEURAL MECHANISM/CORRELATE
-	I-NEURAL MECHANISM/CORRELATE
Gq	I-NEURAL MECHANISM/CORRELATE
coupling	I-NEURAL MECHANISM/CORRELATE
.	O
Because	O
the	O
5	O
-	O
HT2A	B-NEURAL MECHANISM/CORRELATE
receptor	I-NEURAL MECHANISM/CORRELATE
is	O
essential	O
for	O
the	O
actions	B-OUTCOME
of	I-OUTCOME
classical	I-OUTCOME
psychedelics	I-OUTCOME
including	O
LSD	B-DRUG
,	O
psilocin	B-DRUG
,	O
mescaline	B-DRUG
,	O
and	O
various	O
N	O
-	O
BOH	O
analogs	O
,	O
the	O
5	B-NEURAL MECHANISM/CORRELATE
-	I-NEURAL MECHANISM/CORRELATE
HT2A	I-NEURAL MECHANISM/CORRELATE
receptor	I-NEURAL MECHANISM/CORRELATE
is	O
essential	O
for	O
the	O
actions	O
of	O
classical	O
psychedelics	B-DRUG
including	O
LSD	B-DRUG
,	O
psilocin	B-DRUG
,	O
mescaline	B-DRUG
,	O
and	O
various	O
N	O
-	O
BOH	O
analogs	O
provide	O
structural	O
insights	O
into	O
the	O
actions	O
of	O
psychedelics	B-DRUG
at	O
the	O
5	B-NEURAL MECHANISM/CORRELATE
-	I-NEURAL MECHANISM/CORRELATE
HT2A	I-NEURAL MECHANISM/CORRELATE
receptor	I-NEURAL MECHANISM/CORRELATE
is	O
essential	O
for	O
the	O
actions	O
of	O
classical	O
psychedelics	B-DRUG
including	O
LSD	B-DRUG
,	O
psilocin	B-DRUG
,	O
mescaline	B-DRUG
,	O
and	O
various	O
N	O
-	O
BOH	O
analogs	O
molecular	O
target	O
.	O
Importantly	O
,	O
we	O
also	O
discovered	O
that	O
the	O
specific	O
interactions	O
the	O
5	B-NEURAL MECHANISM/CORRELATE
-	I-NEURAL MECHANISM/CORRELATE
HT2A	I-NEURAL MECHANISM/CORRELATE
receptor	I-NEURAL MECHANISM/CORRELATE
achieves	O
with	O
Gq	O
residues	O
are	O
essential	O
for	O
the	O
apparently	O
selective	O
engagement	O
of	O
this	O
receptor	O
with	O
Gq	B-NEURAL MECHANISM/CORRELATE
-	I-NEURAL MECHANISM/CORRELATE
family	I-NEURAL MECHANISM/CORRELATE
proteins	I-NEURAL MECHANISM/CORRELATE
in	O
vitro	O
Some	O
of	O
these	O
findings	O
contrast	O
with	O
predictions	O
from	O
a	O
recent	O
study	O
utilizing	O
chimeric	O
Gα	B-NEURAL MECHANISM/CORRELATE
subunits	I-NEURAL MECHANISM/CORRELATE
that	O
indicated	O
that	O
HTR2A	B-NEURAL MECHANISM/CORRELATE
interact	O
efficiently	O
with	O
all	O
of	O
the	O
11	O
tested	O
Gα	B-NEURAL MECHANISM/CORRELATE
subunits	I-NEURAL MECHANISM/CORRELATE
,	O
albeit	O
with	O
low	O
efficacy	O
at	O
Gαs	B-NEURAL MECHANISM/CORRELATE
(	O
Inoue	O
et	O
al	O
.	O
,	O
2019	O
)	O
.	O
However	O
,	O
the	O
Gα	B-NEURAL MECHANISM/CORRELATE
subtypes	I-NEURAL MECHANISM/CORRELATE
in	O
that	O
study	O
(	O
Inoue	O
et	O
al	O
.	O
,	O
2019	O
)	O
were	O
created	O
by	O
replacing	O
the	O
terminal	O
seven	O
amino	O
acids	O
of	O
Gq	B-NEURAL MECHANISM/CORRELATE
with	O
the	O
corresponding	O
sequences	O
from	O
several	O
other	O
Gα	B-NEURAL MECHANISM/CORRELATE
subunits	I-NEURAL MECHANISM/CORRELATE
using	O
the	O
motif	O
LXXXLX	O
(	O
where	O
X	O
=	O
subtype	O
selective	O
sequences	O
)	O
(	O
Inoue	O
et	O
al	O
.	O
,	O
2019	O
)	O
.	O
Pertinent	O
to	O
this	O
,	O
we	O
note	O
that	O
immediately	O
prior	O
to	O
L353	B-NEURAL MECHANISM/CORRELATE
is	O
Q352	B-NEURAL MECHANISM/CORRELATE
that	O
is	O
conserved	O
among	O
all	O
of	O
the	O
chimeric	O
G	B-NEURAL MECHANISM/CORRELATE
proteins	I-NEURAL MECHANISM/CORRELATE
employed	O
in	O
the	O
study	O
by	O
Inoue	O
et	O
al	O
.	O
(	O
2019	O
)	O
.	O
Here	O
,	O
we	O
discovered	O
that	O
the	O
Q352	B-NEURAL MECHANISM/CORRELATE
cognate	O
residue	O
directly	O
interacts	O
with	O
HTR2A	B-NEURAL MECHANISM/CORRELATE
TM6	I-NEURAL MECHANISM/CORRELATE
residue	O
N3176.29	B-NEURAL MECHANISM/CORRELATE
,	O
and	O
mutation	O
of	O
this	O
residue	O
abolishes	O
the	O
ability	O
of	O
HTR2A	B-NEURAL MECHANISM/CORRELATE
to	O
activate	O
Gq	O
.	O
We	O
also	O
point	O
out	O
that	O
in	O
the	O
only	O
other	O
Gq	B-NEURAL MECHANISM/CORRELATE
-	I-NEURAL MECHANISM/CORRELATE
GPCR	I-NEURAL MECHANISM/CORRELATE
structure	O
available	O
,	O
the	O
same	O
Q352	B-NEURAL MECHANISM/CORRELATE
interacts	O
directly	O
with	O
the	O
TM5	B-NEURAL MECHANISM/CORRELATE
residue	O
R5.46	B-NEURAL MECHANISM/CORRELATE
(	O
Maeda	O
et	O
al	O
.	O
,	O
2019	O
)	O
.	O
Importantly	O
,	O
using	O
assays	O
in	O
which	O
full	O
-	O
length	O
heterotrimeric	O
G	B-NEURAL MECHANISM/CORRELATE
proteins	I-NEURAL MECHANISM/CORRELATE
were	O
used	O
,	O
we	O
find	O
that	O
HTR2A	B-NEURAL MECHANISM/CORRELATE
productively	O
couples	O
weakly	O
with	O
only	O
one	O
Gi	B-NEURAL MECHANISM/CORRELATE
-	I-NEURAL MECHANISM/CORRELATE
family	I-NEURAL MECHANISM/CORRELATE
member	I-NEURAL MECHANISM/CORRELATE
,	O
Gαz	O
Relevant	O
to	O
these	O
findings	O
,	O
we	O
also	O
found	O
important	O
interactions	O
outside	O
the	O
α5	B-NEURAL MECHANISM/CORRELATE
helix	I-NEURAL MECHANISM/CORRELATE
that	O
are	O
essential	O
for	O
HTR2A	B-NEURAL MECHANISM/CORRELATE
-	I-NEURAL MECHANISM/CORRELATE
Gq	I-NEURAL MECHANISM/CORRELATE
interactions	I-NEURAL MECHANISM/CORRELATE
.	O
Thus	O
,	O
R132ICL2	B-NEURAL MECHANISM/CORRELATE
interacts	O
via	O
an	O
extended	O
backbone	O
interaction	O
with	O
N32	B-NEURAL MECHANISM/CORRELATE
of	O
the	O
α	O
-	O
helical	B-NEURAL MECHANISM/CORRELATE
domain	I-NEURAL MECHANISM/CORRELATE
,	O
and	O
we	O
further	O
demonstrated	O
via	O
mutagenesis	O
and	O
functional	O
assays	O
that	O
this	O
interaction	O
is	O
essential	O
for	O
agonist	B-NEURAL MECHANISM/CORRELATE
-	I-NEURAL MECHANISM/CORRELATE
induced	I-NEURAL MECHANISM/CORRELATE
activation	I-NEURAL MECHANISM/CORRELATE
of	I-NEURAL MECHANISM/CORRELATE
Gq	I-NEURAL MECHANISM/CORRELATE
.	O
This	O
GPCR	B-NEURAL MECHANISM/CORRELATE
-	I-NEURAL MECHANISM/CORRELATE
Gq	I-NEURAL MECHANISM/CORRELATE
interaction	O
is	O
not	O
seen	O
in	O
the	O
M1	B-NEURAL MECHANISM/CORRELATE
-	I-NEURAL MECHANISM/CORRELATE
G11	I-NEURAL MECHANISM/CORRELATE
structure	O
,	O
although	O
R134ICL2	B-NEURAL MECHANISM/CORRELATE
in	O
M1	B-NEURAL MECHANISM/CORRELATE
could	O
weakly	O
interact	O
with	O
the	O
backbone	O
carbonyl	O
of	O
R32	B-NEURAL MECHANISM/CORRELATE
in	O
Gq	O
based	O
on	O
an	O
examination	O
of	O
that	O
prior	O
structure	O
.	O
These	O
results	O
underscore	O
suggestions	O
made	O
decades	O
ago	O
that	O
the	O
selectivity	O
determinants	O
for	O
Gα	B-NEURAL MECHANISM/CORRELATE
subunits	I-NEURAL MECHANISM/CORRELATE
may	O
not	O
be	O
entirely	O
specified	O
by	O
reside	O
in	O
Gα	B-NEURAL MECHANISM/CORRELATE
subunits	I-NEURAL MECHANISM/CORRELATE
terminal	O
5–7	O
amino	O
acids	O
(	O
Wess	O
,	O
1997	O
)	O
We	O
also	O
discovered	O
that	O
a	O
key	O
hydrophobic	O
residue	O
essential	O
for	O
G	B-NEURAL MECHANISM/CORRELATE
protein	I-NEURAL MECHANISM/CORRELATE
coupling	I-NEURAL MECHANISM/CORRELATE
among	O
various	O
GPCRs	B-NEURAL MECHANISM/CORRELATE
—	I-NEURAL MECHANISM/CORRELATE
I181ICL2	I-NEURAL MECHANISM/CORRELATE
—	O
when	O
mutated	O
,	O
abolishes	O
Gαq	B-NEURAL MECHANISM/CORRELATE
coupling	I-NEURAL MECHANISM/CORRELATE
while	O
potentiating	O
arrestin	O
binding	O
at	O
HTR2A.	B-NEURAL MECHANISM/CORRELATE
This	O
result	O
was	O
unexpected	O
because	O
there	O
was	O
no	O
prior	O
data	O
with	O
sufficiently	O
high	O
resolution	O
of	O
GPCR	B-NEURAL MECHANISM/CORRELATE
-	I-NEURAL MECHANISM/CORRELATE
arrestin	I-NEURAL MECHANISM/CORRELATE
complexes	I-NEURAL MECHANISM/CORRELATE
that	O
